       KEY   NAME                                            RED   GREEN    BLUE   ALPHA   
         0   ???                                           1.000   1.000   1.000   0.000   
         1   L_unknown_0                                   0.000   0.000   0.000   0.000   
         2   L_Background+FreeSurfer_Defined_Medial_Wall   0.004   0.004   0.004   1.000   
         3   L_17Networks_LH_VisCent_ExStr_1               0.471   0.071   0.514   1.000   
         4   L_17Networks_LH_VisCent_ExStr_2               0.471   0.071   0.518   1.000   
         5   L_17Networks_LH_VisCent_ExStr_3               0.471   0.071   0.522   1.000   
         6   L_17Networks_LH_VisCent_ExStr_4               0.471   0.071   0.525   1.000   
         7   L_17Networks_LH_VisCent_ExStr_5               0.471   0.071   0.533   1.000   
         8   L_17Networks_LH_VisCent_ExStr_6               0.471   0.071   0.537   1.000   
         9   L_17Networks_LH_VisCent_ExStr_7               0.471   0.071   0.541   1.000   
        10   L_17Networks_LH_VisCent_ExStr_8               0.471   0.071   0.545   1.000   
        11   L_17Networks_LH_VisCent_ExStr_9               0.471   0.071   0.549   1.000   
        12   L_17Networks_LH_VisCent_ExStr_10              0.471   0.071   0.553   1.000   
        13   L_17Networks_LH_VisCent_ExStr_11              0.471   0.071   0.557   1.000   
        14   L_17Networks_LH_VisCent_ExStr_12              0.471   0.075   0.529   1.000   
        15   L_17Networks_LH_VisPeri_ExStrSup_1            1.000   0.004   0.004   1.000   
        16   L_17Networks_LH_VisPeri_ExStrSup_2            1.000   0.004   0.008   1.000   
        17   L_17Networks_LH_VisPeri_ExStrSup_3            1.000   0.004   0.012   1.000   
        18   L_17Networks_LH_VisPeri_ExStrSup_4            1.000   0.004   0.016   1.000   
        19   L_17Networks_LH_VisPeri_ExStrSup_5            1.000   0.004   0.020   1.000   
        20   L_17Networks_LH_VisPeri_ExStrSup_6            1.000   0.004   0.024   1.000   
        21   L_17Networks_LH_VisPeri_ExStrSup_7            1.000   0.004   0.027   1.000   
        22   L_17Networks_LH_VisPeri_ExStrSup_8            1.000   0.008   0.000   1.000   
        23   L_17Networks_LH_VisPeri_ExStrSup_9            1.000   0.008   0.004   1.000   
        24   L_17Networks_LH_VisPeri_ExStrSup_10           1.000   0.008   0.008   1.000   
        25   L_17Networks_LH_VisPeri_ExStrSup_11           1.000   0.008   0.012   1.000   
        26   L_17Networks_LH_VisPeri_ExStrSup_12           1.000   0.008   0.016   1.000   
        27   L_17Networks_LH_SomMotA_1                     0.275   0.506   0.706   1.000   
        28   L_17Networks_LH_SomMotA_2                     0.275   0.510   0.678   1.000   
        29   L_17Networks_LH_SomMotA_3                     0.275   0.510   0.682   1.000   
